ticket_id,title,description,category,severity,source
v1-0001,SSO callback loop for enterprise tenants [AUT-01],Observed in production. users are blocked from signing in. Repro count: 1.,Auth,P1,web
v1-0002,MFA prompt never appears after password entry [AUT-02],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that authentication fails across multiple orgs. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,mobile
v1-0003,Password reset link expires instantly [AUT-03],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however new sessions cannot be established when the boundary condition is met (case #1002).",Auth,P2,api
v1-0004,OIDC token rejected by auth gateway [AUT-04],Observed in production. login flow breaks after redirect. Repro count: 4.,Auth,P2,ops
v1-0005,Service account login fails with 401 [AUT-05],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that access is denied for valid credentials. Issue started after a recent deployment and persists despite cache clears.",Auth,P3,support
v1-0006,Session timeout too aggressive for analysts [AUT-06],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however users are blocked from signing in when the boundary condition is met (case #1005).",Auth,P0,security
v1-0007,Admin cannot impersonate user for support [AUT-07],Observed in production. authentication fails across multiple orgs. Repro count: 7.,Auth,P1,email
v1-0008,SSO callback loop for enterprise tenants [AUT-08],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that new sessions cannot be established. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,chat
v1-0009,MFA prompt never appears after password entry [AUT-09],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however login flow breaks after redirect when the boundary condition is met (case #1008).",Auth,P2,web
v1-0010,Password reset link expires instantly [AUT-10],Observed in production. access is denied for valid credentials. Repro count: 1.,Auth,P2,mobile
v1-0011,OIDC token rejected by auth gateway [AUT-11],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that users are blocked from signing in. Issue started after a recent deployment and persists despite cache clears.",Auth,P3,api
v1-0012,Service account login fails with 401 [AUT-12],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however authentication fails across multiple orgs when the boundary condition is met (case #1011).",Auth,P0,ops
v1-0013,Session timeout too aggressive for analysts [AUT-13],Observed in production. new sessions cannot be established. Repro count: 4.,Auth,P1,support
v1-0014,Admin cannot impersonate user for support [AUT-14],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that login flow breaks after redirect. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,security
v1-0015,SSO callback loop for enterprise tenants [AUT-15],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however access is denied for valid credentials when the boundary condition is met (case #1014).",Auth,P2,email
v1-0016,MFA prompt never appears after password entry [AUT-16],Observed in production. users are blocked from signing in. Repro count: 7.,Auth,P2,chat
v1-0017,Password reset link expires instantly [AUT-17],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that authentication fails across multiple orgs. Issue started after a recent deployment and persists despite cache clears.",Auth,P3,web
v1-0018,OIDC token rejected by auth gateway [AUT-18],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however new sessions cannot be established when the boundary condition is met (case #1017).",Auth,P0,mobile
v1-0019,Service account login fails with 401 [AUT-19],Observed in production. login flow breaks after redirect. Repro count: 1.,Auth,P1,api
v1-0020,Session timeout too aggressive for analysts [AUT-20],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that access is denied for valid credentials. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,ops
v1-0021,Admin cannot impersonate user for support [AUT-21],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however users are blocked from signing in when the boundary condition is met (case #1020).",Auth,P2,support
v1-0022,SSO callback loop for enterprise tenants [AUT-22],Observed in production. authentication fails across multiple orgs. Repro count: 4.,Auth,P2,security
v1-0023,MFA prompt never appears after password entry [AUT-23],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that new sessions cannot be established. Issue started after a recent deployment and persists despite cache clears.",Auth,P3,email
v1-0024,Password reset link expires instantly [AUT-24],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however login flow breaks after redirect when the boundary condition is met (case #1023).",Auth,P0,chat
v1-0025,OIDC token rejected by auth gateway [AUT-25],Observed in production. access is denied for valid credentials. Repro count: 7.,Auth,P1,web
v1-0026,Service account login fails with 401 [AUT-26],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that users are blocked from signing in. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,mobile
v1-0027,Session timeout too aggressive for analysts [AUT-27],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however authentication fails across multiple orgs when the boundary condition is met (case #1026).",Auth,P2,api
v1-0028,Admin cannot impersonate user for support [AUT-28],Observed in production. new sessions cannot be established. Repro count: 1.,Auth,P2,ops
v1-0029,SSO callback loop for enterprise tenants [AUT-29],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that login flow breaks after redirect. Issue started after a recent deployment and persists despite cache clears.",Auth,P3,support
v1-0030,MFA prompt never appears after password entry [AUT-30],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however access is denied for valid credentials when the boundary condition is met (case #1029).",Auth,P0,security
v1-0031,Password reset link expires instantly [AUT-31],Observed in production. users are blocked from signing in. Repro count: 4.,Auth,P1,email
v1-0032,OIDC token rejected by auth gateway [AUT-32],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that authentication fails across multiple orgs. Issue started after a recent deployment and persists despite cache clears.",Auth,P1,chat
v1-0033,Service account login fails with 401 [AUT-33],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however new sessions cannot be established when the boundary condition is met (case #1032).",Auth,P2,web
v1-0034,Session timeout too aggressive for analysts [AUT-34],Observed in production. login flow breaks after redirect. Repro count: 7.,Auth,P2,mobile
v1-0035,Admin cannot impersonate user for support [AUT-35],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that access is denied for valid credentials. Issue started after a recent deployment and persists despite cache clears.",Auth,P3,api
v1-0036,Invoice PDF download returns 500 [BIL-01],Observed in production. finance team cannot reconcile charges. Repro count: 1.,Billing,P2,mobile
v1-0037,Duplicate charge after plan upgrade [BIL-02],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that customers report incorrect billing totals. Issue started after a recent deployment and persists despite cache clears.",Billing,P2,api
v1-0038,Proration amount looks incorrect [BIL-03],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however payment workflow fails at confirmation when the boundary condition is met (case #1002).",Billing,P3,ops
v1-0039,Card update form fails validation [BIL-04],Observed in production. subscription status does not match payment. Repro count: 4.,Billing,P1,support
v1-0040,Refund request stuck in pending [BIL-05],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that billing records appear inconsistent. Issue started after a recent deployment and persists despite cache clears.",Billing,P3,security
v1-0041,Annual subscription renewal overcharged [BIL-06],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however finance team cannot reconcile charges when the boundary condition is met (case #1005).",Billing,P1,email
v1-0042,Tax calculation mismatch in checkout [BIL-07],Observed in production. customers report incorrect billing totals. Repro count: 7.,Billing,P2,chat
v1-0043,Invoice PDF download returns 500 [BIL-08],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that payment workflow fails at confirmation. Issue started after a recent deployment and persists despite cache clears.",Billing,P2,web
v1-0044,Duplicate charge after plan upgrade [BIL-09],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however subscription status does not match payment when the boundary condition is met (case #1008).",Billing,P3,mobile
v1-0045,Proration amount looks incorrect [BIL-10],Observed in production. billing records appear inconsistent. Repro count: 1.,Billing,P1,api
v1-0046,Card update form fails validation [BIL-11],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that finance team cannot reconcile charges. Issue started after a recent deployment and persists despite cache clears.",Billing,P3,ops
v1-0047,Refund request stuck in pending [BIL-12],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however customers report incorrect billing totals when the boundary condition is met (case #1011).",Billing,P1,support
v1-0048,Annual subscription renewal overcharged [BIL-13],Observed in production. payment workflow fails at confirmation. Repro count: 4.,Billing,P2,security
v1-0049,Tax calculation mismatch in checkout [BIL-14],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that subscription status does not match payment. Issue started after a recent deployment and persists despite cache clears.",Billing,P2,email
v1-0050,Invoice PDF download returns 500 [BIL-15],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however billing records appear inconsistent when the boundary condition is met (case #1014).",Billing,P3,chat
v1-0051,Duplicate charge after plan upgrade [BIL-16],Observed in production. finance team cannot reconcile charges. Repro count: 7.,Billing,P1,web
v1-0052,Proration amount looks incorrect [BIL-17],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that customers report incorrect billing totals. Issue started after a recent deployment and persists despite cache clears.",Billing,P3,mobile
v1-0053,Card update form fails validation [BIL-18],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however payment workflow fails at confirmation when the boundary condition is met (case #1017).",Billing,P1,api
v1-0054,Refund request stuck in pending [BIL-19],Observed in production. subscription status does not match payment. Repro count: 1.,Billing,P2,ops
v1-0055,Annual subscription renewal overcharged [BIL-20],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that billing records appear inconsistent. Issue started after a recent deployment and persists despite cache clears.",Billing,P2,support
v1-0056,Tax calculation mismatch in checkout [BIL-21],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however finance team cannot reconcile charges when the boundary condition is met (case #1020).",Billing,P3,security
v1-0057,Invoice PDF download returns 500 [BIL-22],Observed in production. customers report incorrect billing totals. Repro count: 4.,Billing,P1,email
v1-0058,Duplicate charge after plan upgrade [BIL-23],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that payment workflow fails at confirmation. Issue started after a recent deployment and persists despite cache clears.",Billing,P3,chat
v1-0059,Proration amount looks incorrect [BIL-24],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however subscription status does not match payment when the boundary condition is met (case #1023).",Billing,P1,web
v1-0060,Card update form fails validation [BIL-25],Observed in production. billing records appear inconsistent. Repro count: 7.,Billing,P2,mobile
v1-0061,Refund request stuck in pending [BIL-26],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that finance team cannot reconcile charges. Issue started after a recent deployment and persists despite cache clears.",Billing,P2,api
v1-0062,Annual subscription renewal overcharged [BIL-27],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however customers report incorrect billing totals when the boundary condition is met (case #1026).",Billing,P3,ops
v1-0063,Tax calculation mismatch in checkout [BIL-28],Observed in production. payment workflow fails at confirmation. Repro count: 1.,Billing,P1,support
v1-0064,Invoice PDF download returns 500 [BIL-29],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that subscription status does not match payment. Issue started after a recent deployment and persists despite cache clears.",Billing,P3,security
v1-0065,Duplicate charge after plan upgrade [BIL-30],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however billing records appear inconsistent when the boundary condition is met (case #1029).",Billing,P1,email
v1-0066,Proration amount looks incorrect [BIL-31],Observed in production. finance team cannot reconcile charges. Repro count: 4.,Billing,P2,chat
v1-0067,Card update form fails validation [BIL-32],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that customers report incorrect billing totals. Issue started after a recent deployment and persists despite cache clears.",Billing,P2,web
v1-0068,Refund request stuck in pending [BIL-33],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however payment workflow fails at confirmation when the boundary condition is met (case #1032).",Billing,P3,mobile
v1-0069,Annual subscription renewal overcharged [BIL-34],Observed in production. subscription status does not match payment. Repro count: 7.,Billing,P1,api
v1-0070,Tax calculation mismatch in checkout [BIL-35],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that billing records appear inconsistent. Issue started after a recent deployment and persists despite cache clears.",Billing,P3,ops
v1-0071,Primary API cluster unreachable [OUT-01],Observed in production. core services are unavailable. Repro count: 1.,Outage,P0,api
v1-0072,Background workers not processing jobs [OUT-02],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that critical user workflows are down. Issue started after a recent deployment and persists despite cache clears.",Outage,P0,ops
v1-0073,Customer portal shows 503 globally [OUT-03],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however requests fail for nearly all customers when the boundary condition is met (case #1002).",Outage,P1,support
v1-0074,Message queue outage in production [OUT-04],Observed in production. production traffic cannot be served. Repro count: 4.,Outage,P1,security
v1-0075,Region us-east service hard down [OUT-05],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that system availability is severely impacted. Issue started after a recent deployment and persists despite cache clears.",Outage,P2,email
v1-0076,Webhook delivery halted for all tenants [OUT-06],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however core services are unavailable when the boundary condition is met (case #1005).",Outage,P0,chat
v1-0077,Incident: core dependency unavailable [OUT-07],Observed in production. critical user workflows are down. Repro count: 7.,Outage,P0,web
v1-0078,Primary API cluster unreachable [OUT-08],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that requests fail for nearly all customers. Issue started after a recent deployment and persists despite cache clears.",Outage,P0,mobile
v1-0079,Background workers not processing jobs [OUT-09],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however production traffic cannot be served when the boundary condition is met (case #1008).",Outage,P1,api
v1-0080,Customer portal shows 503 globally [OUT-10],Observed in production. system availability is severely impacted. Repro count: 1.,Outage,P1,ops
v1-0081,Message queue outage in production [OUT-11],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that core services are unavailable. Issue started after a recent deployment and persists despite cache clears.",Outage,P2,support
v1-0082,Region us-east service hard down [OUT-12],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however critical user workflows are down when the boundary condition is met (case #1011).",Outage,P0,security
v1-0083,Webhook delivery halted for all tenants [OUT-13],Observed in production. requests fail for nearly all customers. Repro count: 4.,Outage,P0,email
v1-0084,Incident: core dependency unavailable [OUT-14],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that production traffic cannot be served. Issue started after a recent deployment and persists despite cache clears.",Outage,P0,chat
v1-0085,Primary API cluster unreachable [OUT-15],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however system availability is severely impacted when the boundary condition is met (case #1014).",Outage,P1,web
v1-0086,Background workers not processing jobs [OUT-16],Observed in production. core services are unavailable. Repro count: 7.,Outage,P1,mobile
v1-0087,Customer portal shows 503 globally [OUT-17],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that critical user workflows are down. Issue started after a recent deployment and persists despite cache clears.",Outage,P2,api
v1-0088,Message queue outage in production [OUT-18],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however requests fail for nearly all customers when the boundary condition is met (case #1017).",Outage,P0,ops
v1-0089,Region us-east service hard down [OUT-19],Observed in production. production traffic cannot be served. Repro count: 1.,Outage,P0,support
v1-0090,Webhook delivery halted for all tenants [OUT-20],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that system availability is severely impacted. Issue started after a recent deployment and persists despite cache clears.",Outage,P0,security
v1-0091,Incident: core dependency unavailable [OUT-21],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however core services are unavailable when the boundary condition is met (case #1020).",Outage,P1,email
v1-0092,Primary API cluster unreachable [OUT-22],Observed in production. critical user workflows are down. Repro count: 4.,Outage,P1,chat
v1-0093,Background workers not processing jobs [OUT-23],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that requests fail for nearly all customers. Issue started after a recent deployment and persists despite cache clears.",Outage,P2,web
v1-0094,Customer portal shows 503 globally [OUT-24],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however production traffic cannot be served when the boundary condition is met (case #1023).",Outage,P0,mobile
v1-0095,Message queue outage in production [OUT-25],Observed in production. system availability is severely impacted. Repro count: 7.,Outage,P0,api
v1-0096,Region us-east service hard down [OUT-26],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that core services are unavailable. Issue started after a recent deployment and persists despite cache clears.",Outage,P0,ops
v1-0097,Webhook delivery halted for all tenants [OUT-27],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however critical user workflows are down when the boundary condition is met (case #1026).",Outage,P1,support
v1-0098,Incident: core dependency unavailable [OUT-28],Observed in production. requests fail for nearly all customers. Repro count: 1.,Outage,P1,security
v1-0099,Primary API cluster unreachable [OUT-29],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that production traffic cannot be served. Issue started after a recent deployment and persists despite cache clears.",Outage,P2,email
v1-0100,Background workers not processing jobs [OUT-30],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however system availability is severely impacted when the boundary condition is met (case #1029).",Outage,P0,chat
v1-0101,Customer portal shows 503 globally [OUT-31],Observed in production. core services are unavailable. Repro count: 4.,Outage,P0,web
v1-0102,Message queue outage in production [OUT-32],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that critical user workflows are down. Issue started after a recent deployment and persists despite cache clears.",Outage,P0,mobile
v1-0103,Region us-east service hard down [OUT-33],"Intermittent edge case: only affects long-lived sessions, legacy clients, or orgs with custom settings; however requests fail for nearly all customers when the boundary condition is met (case #1032).",Outage,P1,api
v1-0104,Webhook delivery halted for all tenants [OUT-34],Observed in production. production traffic cannot be served. Repro count: 7.,Outage,P1,ops
v1-0105,Incident: core dependency unavailable [OUT-35],"Multiple stakeholders reported this today across different tenants. After reviewing logs and support transcripts, we confirmed that system availability is severely impacted. Issue started after a recent deployment and persists despite cache clears.",Outage,P2,support
